City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,80.26,73,0,4.0,clear sky
1,Jamestown,US,42.097,-79.2353,70.05,40,20,12.66,few clouds
2,Rypefjord,NO,70.6333,23.6667,43.27,75,75,11.5,broken clouds
3,Punta Arenas,CL,-53.15,-70.9167,41.11,70,75,18.41,broken clouds
4,Raudeberg,NO,61.9875,5.1352,56.86,86,66,13.09,broken clouds
5,Ushuaia,AR,-54.8,-68.3,42.46,56,75,26.46,broken clouds
6,Saskylakh,RU,71.9167,114.0833,39.7,79,0,16.22,clear sky
7,Batsfjord,NO,70.6345,29.7185,44.53,70,75,13.8,broken clouds
8,Castro,BR,-24.7911,-50.0119,60.17,84,100,5.66,overcast clouds
9,Busselton,AU,-33.65,115.3333,63.14,89,94,20.71,light rain
10,Goba,ET,7.0167,39.9833,50.32,98,100,3.09,moderate rain
11,Albany,US,42.6001,-73.9662,74.03,49,6,1.01,clear sky
12,Jiaocheng,CN,24.6774,116.1389,74.05,100,100,0.92,light rain
13,Geraldton,AU,-28.7667,114.6,63.01,94,40,10.36,scattered clouds
14,Havoysund,NO,70.9963,24.6622,43.03,76,100,18.05,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,66.38,45,0,3.0,clear sky
16,Mataura,NZ,-46.1927,168.8643,39.47,96,100,1.97,moderate rain
17,Punta Arenas,CL,-53.15,-70.9167,41.11,70,75,18.41,broken clouds
18,Rovaniemi,FI,66.5,25.7167,63.81,29,0,4.61,clear sky
19,Mahebourg,MU,-20.4081,57.7,70.09,88,75,10.36,broken clouds
20,Swellendam,ZA,-34.0226,20.4417,64.08,29,99,5.26,overcast clouds
21,Broome,US,42.2506,-75.833,72.7,51,20,14.97,few clouds
22,Lebu,CL,-37.6167,-73.65,53.98,61,6,12.71,clear sky
23,Bluff,NZ,-46.6,168.3333,39.79,95,100,13.62,light rain
24,Vallenar,CL,-28.5708,-70.7581,79.2,16,5,5.21,clear sky
25,Kapaa,US,22.0752,-159.319,79.12,75,20,10.36,few clouds
26,Souillac,MU,-20.5167,57.5167,70.18,88,75,10.36,light rain
27,Yellowknife,CA,62.456,-114.3525,70.32,46,75,10.36,broken clouds
28,Camaqua,BR,-30.8511,-51.8122,52.32,57,2,9.37,clear sky
29,Cape Town,ZA,-33.9258,18.4232,66.38,45,0,3.0,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,41.11,70,75,18.41,broken clouds
31,Krasnozerskoye,RU,53.9828,79.2374,66.0,75,100,13.44,overcast clouds
32,Springbok,ZA,-29.6643,17.8865,59.09,26,10,8.55,clear sky
33,Saldanha,ZA,-33.0117,17.9442,60.85,40,39,8.95,scattered clouds
34,Hermanus,ZA,-34.4187,19.2345,64.94,40,33,9.33,scattered clouds
35,Rikitea,PF,-23.1203,-134.9692,74.97,70,100,14.03,overcast clouds
36,Cap Malheureux,MU,-19.9842,57.6142,69.48,85,20,4.0,light rain
37,Jamestown,US,42.097,-79.2353,70.05,40,20,12.66,few clouds
38,Pangnirtung,CA,66.1451,-65.7125,39.2,81,75,11.5,broken clouds
39,Broome,US,42.2506,-75.833,72.7,51,20,14.97,few clouds
40,Atuona,PF,-9.8,-139.0333,77.38,72,7,14.9,light rain
41,Hobart,AU,-42.8794,147.3294,46.26,85,100,18.41,light rain
42,Dikson,RU,73.5069,80.5464,32.25,87,96,6.4,overcast clouds
43,Torbay,CA,47.6666,-52.7314,62.28,96,100,14.97,light rain
44,Barrow,US,71.2906,-156.7887,30.22,93,100,11.5,overcast clouds
45,Harper,LR,4.375,-7.7169,77.2,87,100,9.15,light rain
46,Cape Town,ZA,-33.9258,18.4232,66.38,45,0,3.0,clear sky
47,Pevek,RU,69.7008,170.3133,43.14,64,100,3.58,overcast clouds
48,Les Cayes,HT,18.2,-73.75,85.87,60,100,9.66,overcast clouds
49,Punta Arenas,CL,-53.15,-70.9167,41.11,70,75,18.41,broken clouds
50,Rikitea,PF,-23.1203,-134.9692,74.97,70,100,14.03,overcast clouds
51,Tessalit,ML,20.1986,1.0114,98.51,6,3,7.99,clear sky
52,Jamestown,US,42.097,-79.2353,70.05,40,20,12.66,few clouds
53,Oyama,JP,36.3,139.8,71.58,91,100,2.8,light rain
54,Norman Wells,CA,65.282,-126.8329,50.04,66,75,16.11,broken clouds
55,Port Lincoln,AU,-34.7333,135.8667,55.99,75,100,8.86,overcast clouds
56,Port Hedland,AU,-20.3167,118.5667,64.45,72,0,5.75,clear sky
57,Mataura,NZ,-46.1927,168.8643,39.47,96,100,1.97,moderate rain
58,Puerto Ayora,EC,-0.7393,-90.3518,80.56,69,0,11.39,clear sky
59,Calama,CL,-22.4667,-68.9333,68.49,4,0,5.75,clear sky
60,Bredasdorp,ZA,-34.5322,20.0403,58.68,51,100,3.71,overcast clouds
61,Maridi,SS,4.9158,29.4742,73.38,72,86,3.11,overcast clouds
62,Maraa,BR,-1.8333,-65.3667,85.86,66,79,2.62,light rain
63,Srivardhan,IN,18.0333,73.0167,82.51,77,95,4.43,overcast clouds
64,Puerto Ayora,EC,-0.7393,-90.3518,80.56,69,0,11.39,clear sky
65,Haines Junction,CA,60.7522,-137.5108,57.13,55,100,4.79,overcast clouds
66,Sturgis,US,41.7992,-85.4192,78.31,32,40,11.5,scattered clouds
67,Ushuaia,AR,-54.8,-68.3,42.46,56,75,26.46,broken clouds
68,Ayutla,MX,20.1167,-104.3333,80.08,51,57,2.21,broken clouds
69,Pisco,PE,-13.7,-76.2167,67.01,77,2,10.36,haze
70,Bengkulu,ID,-3.8004,102.2655,74.64,87,99,2.19,overcast clouds
71,Kalmunai,LK,7.4167,81.8167,78.66,86,95,8.63,overcast clouds
72,Verkhnevilyuysk,RU,63.4453,120.3167,54.82,61,100,4.61,overcast clouds
73,Bara,NG,10.3744,10.7288,86.4,48,9,5.3,clear sky
74,Port Lincoln,AU,-34.7333,135.8667,55.99,75,100,8.86,overcast clouds
75,Paamiut,GL,61.994,-49.6678,39.49,81,100,7.83,overcast clouds
76,Xiaoshi,CN,41.2971,124.1209,59.83,99,100,2.86,moderate rain
77,Lincoln,US,40.8,-96.667,80.01,67,75,1.99,broken clouds
78,Jamestown,US,42.097,-79.2353,70.05,40,20,12.66,few clouds
79,Vardo,NO,70.3705,31.1107,46.38,66,75,9.22,broken clouds
80,Mali,GN,12.079,-12.2982,75.06,51,14,3.65,few clouds
81,Upernavik,GL,72.7868,-56.1549,31.86,77,17,10.36,few clouds
82,Albany,US,42.6001,-73.9662,74.03,49,6,1.01,clear sky
83,Vaasa,FI,63.096,21.6158,64.29,88,40,3.44,scattered clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,65,75,9.22,broken clouds
85,Qaanaaq,GL,77.484,-69.3632,31.24,85,100,4.9,overcast clouds
86,Valea Nucarilor,RO,45.0333,28.9333,66.63,88,24,5.75,few clouds
87,Nemuro,JP,43.3236,145.575,47.64,92,36,9.75,scattered clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,48.09,82,40,16.11,scattered clouds
89,Katsuura,JP,35.1333,140.3,68.14,84,100,7.02,overcast clouds
