City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,80.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
1,Jamestown,US,70.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Albany,US,74.03,clear sky,42.6001,-73.9662,
12,Jiaocheng,CN,74.05,light rain,24.6774,116.1389,Changtan Tourism Resort
15,Cape Town,ZA,66.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
19,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,Broome,US,72.7,few clouds,42.2506,-75.833,Chenango Valley State Park
24,Vallenar,CL,79.2,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
25,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
29,Cape Town,ZA,66.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
31,Krasnozerskoye,RU,66.0,overcast clouds,53.9828,79.2374,Hotel Tsentralniy
35,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
36,Cap Malheureux,MU,69.48,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
37,Jamestown,US,70.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
39,Broome,US,72.7,few clouds,42.2506,-75.833,Chenango Valley State Park
40,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
45,Harper,LR,77.2,light rain,4.375,-7.7169,Screensaver
46,Cape Town,ZA,66.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
48,Les Cayes,HT,85.87,overcast clouds,18.2,-73.75,Villa Orphee
50,Rikitea,PF,74.97,overcast clouds,-23.1203,-134.9692,People ThankYou
52,Jamestown,US,70.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Oyama,JP,71.58,light rain,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
58,Puerto Ayora,EC,80.56,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Calama,CL,68.49,clear sky,-22.4667,-68.9333,Park Hotel Calama
61,Maridi,SS,73.38,overcast clouds,4.9158,29.4742,
62,Maraa,BR,85.86,light rain,-1.8333,-65.3667,
63,Srivardhan,IN,82.51,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
64,Puerto Ayora,EC,80.56,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Sturgis,US,78.31,scattered clouds,41.7992,-85.4192,Best Western Plus Howe Inn
68,Ayutla,MX,80.08,broken clouds,20.1167,-104.3333,Hotel Principal
69,Pisco,PE,67.01,haze,-13.7,-76.2167,Hotel San Isidro Oficial
70,Bengkulu,ID,74.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Kalmunai,LK,78.66,overcast clouds,7.4167,81.8167,VS Villa
73,Bara,NG,86.4,clear sky,10.3744,10.7288,
77,Lincoln,US,80.01,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
78,Jamestown,US,70.05,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
80,Mali,GN,75.06,few clouds,12.079,-12.2982,Hotel La Dame de Mali
82,Albany,US,74.03,clear sky,42.6001,-73.9662,
