City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tambo Grande,-4.9269,-80.3447,66.36,75,98,3.91,PE,2022-06-07 11:48:54
1,Port Moresby,-9.4431,147.1797,78.22,89,40,3.44,PG,2022-06-07 11:48:54
2,Pimentel,-6.8367,-79.9342,62.89,77,20,12.66,PE,2022-06-07 11:48:55
3,Tasiilaq,65.6145,-37.6368,39.36,68,100,3.13,GL,2022-06-07 11:48:55
4,East London,-33.0153,27.9116,74.34,46,0,6.91,ZA,2022-06-07 11:48:56
5,Zhongshu,24.5167,103.7667,65.14,89,79,2.35,CN,2022-06-07 11:48:56
6,Hamilton,39.1834,-84.5333,67.75,97,100,4.61,US,2022-06-07 11:46:44
7,Port Alfred,-33.5906,26.891,72.18,42,8,3.0,ZA,2022-06-07 11:48:56
8,Bambous Virieux,-20.3428,57.7575,76.21,88,40,12.66,MU,2022-06-07 11:48:57
9,Busselton,-33.65,115.3333,58.53,52,84,17.4,AU,2022-06-07 11:48:57
10,Tiksi,71.6872,128.8694,43.66,79,65,9.6,RU,2022-06-07 11:48:58
11,Mataura,-46.1927,168.8643,51.48,95,17,3.24,NZ,2022-06-07 11:48:58
12,Hilo,19.7297,-155.09,75.27,89,0,6.91,US,2022-06-07 11:45:43
13,Atambua,-9.1061,124.8925,74.07,84,10,3.69,ID,2022-06-07 11:48:58
14,Yar-Sale,66.8333,70.8333,67.32,27,53,12.73,RU,2022-06-07 11:48:59
15,Vaini,-21.2,-175.2,71.76,78,40,4.61,TO,2022-06-07 11:48:59
16,Evensk,61.95,159.2333,48.81,78,83,9.82,RU,2022-06-07 11:48:59
17,Alice Springs,-23.7,133.8833,45.95,76,0,4.61,AU,2022-06-07 11:49:00
18,Yellowknife,62.456,-114.3525,54.12,66,20,4.61,CA,2022-06-07 11:45:09
19,Deputatskiy,69.3,139.9,48.69,42,1,15.21,RU,2022-06-07 11:49:00
20,Butaritari,3.0707,172.7902,81.59,79,70,15.43,KI,2022-06-07 11:49:01
21,Barrow,71.2906,-156.7887,24.82,86,100,14.97,US,2022-06-07 11:49:01
22,Airai,-8.9266,125.4092,59.83,90,27,2.86,TL,2022-06-07 11:49:01
23,Fairbanks,64.8378,-147.7164,57.16,54,0,11.5,US,2022-06-07 11:49:02
24,Stroud,51.75,-2.2,69.42,66,40,2.3,GB,2022-06-07 11:44:43
